ip,gender,age,square,circle,triangle,star,heart,past,present,future
73.73.67.110,Female,18-24,#eb0005,#ffe94d,#fe9501,#001ee0,#e00031,#b36000,#ccfaff,#e5ffa8
89.238.154.233,Female,18-24,#4ea7df,#44aada,#d2b614,#d6d58a,#c61027,none,none,#135f9a
71.225.73.216,Female,"Under 18",#e38787,#faf914,#fc1d1d,#faee0a,#f7084d,#24262e,#ddcd27,#2000fa
146.115.173.226,Male,18-24,#a634e5,#e2e046,#df210c,#feef25,#f01919,#ffc92e,#c8cbe5,#75c3f0
220.233.83.9,Female,35-44,#300dab,#3e8410,#fcf188,#0aa7bd,#da1663,#464b44,#4a1c1c,#33664d
82.30.72.154,Female,18-24,none,none,none,#f4da25,#f628d6,none,none,none
204.137.226.188,Male,18-24,#ff2424,#0024d1,#fffa1a,#fded44,#ff1a1a,none,none,none
68.53.95.254,Female,25-34,#3c864e,#2a1ad1,#b39119,#f6e523,#e71821,#f0ce98,#aae5f3,#9072f3
5.132.119.167,Male,18-24,#274eec,#ef201a,#3eda6d,#e0d31f,#ea95e6,#6e6f77,#46d4d8,#1a34d1
50.4.198.218,Male,18-24,#c9302c,#3b9ff7,#f2b802,#fffd1f,#f47be3,#fce6ca,#d0fbcb,#afe8f8
89.240.119.65,Nonbinary,18-24,none,#49bcdf,#1ded41,#eae286,#e62d2d,#713d6c,#f79d1d,#cfc9c9
99.39.66.182,Female,"Under 18",#f4c001,#0602e3,#3efb13,#facd0a,#e90730,none,#38fc1d,#3f30fd
98.27.61.110,Female,25-34,#f7b0b0,#f7f31d,#000000,#f5ee14,#fb1313,#8c8282,#cac9c9,none
174.54.25.222,Female,18-24,#5087ed,#f51919,#f7f740,#eaed0c,#fa0505,#6e7da0,#39d0b2,#a5fa8e
173.183.130.129,Male,18-24,#f4ce6c,#b9f3e9,#98eb7a,#fbf146,#f47b91,#ca723f,#e1c27a,#95c8cb
107.77.173.3,Male,35-44,#e71818,#28fb33,#ed2c2c,#f3fe1b,#f26ee1,none,none,none
24.5.97.156,Female,"Under 18",#b55017,#dac001,#15c809,#ebcb28,#ef0606,#a3c4e6,#83e70d,#eecc20
99.103.139.47,Female,25-34,#f47f15,#d6f4fa,#28e212,#f7f259,#f12727,#b7adbd,none,#cea9e0
162.230.205.177,Nonbinary,"Under 18",#f5992e,#b11036,#69a319,#f6ca28,#f377aa,#d0bfd4,#955ca3,#69096c
190.106.45.33,Male,18-24,#fef22f,#fc0324,#0cac2f,#d7e109,#f3396e,#0e5fcd,#1aff1a,#ff1f1f
166.137.90.111,Female,18-24,#e02424,#1329e7,#f0e842,#ecb932,#eb1976,#d2bba2,#2fc7ee,#29da10
173.19.185.26,Male,"Under 18",#2423f6,#fa1919,#23cd36,#faf329,#f80de2,#9b9292,#30c048,#9f34df
173.88.156.230,Female,18-24,#f8aa1b,#0b72f4,#f7f976,#f6f441,#fa3d93,none,none,none
71.37.12.243,Female,25-34,none,#2f46c6,#45873b,#e9e53f,#e42f2f,none,none,#c7c7c2
175.176.78.222,Female,18-24,#edee3f,#3a54bb,#ed8931,#e9ce53,#e82c3e,#dcbc8f,#4b458c,#a697e2
140.190.43.61,Male,18-24,#a12121,#3b52bf,#2fac3f,#edee20,#f41010,none,none,none
175.158.225.51,Male,18-24,#1741c4,#141ec2,#1432c8,#292d1f,#c95959,#000000,#000000,#180d77
75.130.151.96,Male,"Under 18",#5ae7be,#d60700,#18390e,#ffed00,#dd5f91,#b3b3b3,none,none
120.158.188.104,Female,18-24,#8ff5f0,#fa0000,#029d0c,#fee520,#f3356c,#b49174,#f3f2f2,#13fbfb
71.212.149.202,Female,18-24,#e9ad44,#f43434,#0d45e3,#eedc2f,#eb66e5,#82d9d7,#12b8d9,#37f6ef
67.168.66.131,Nonbinary,18-24,#f25050,#5cd4ff,#00f030,#fcff61,#ed5e5e,#87bdcf,#dbce76,#b6f6f6
212.117.18.140,Female,18-24,#ec2751,#2243a5,#fa920a,#f4ed62,#c94a3b,none,none,#000000
98.169.48.167,Female,"Under 18",#fadc19,#064df9,#fb4b4b,#f7fe76,#f8359f,#dccdad,#c3e7f4,#baffb3
98.16.29.187,Female,25-34,#df1111,#f5ec14,#1bee36,#f0f40b,#f60e21,#060404,#55baec,#fdfabf
76.182.104.169,Female,18-24,#456af7,#ce320d,#10d516,#f2ff9e,#fb2dbf,none,none,none
67.60.53.102,Nonbinary,25-34,#e27128,#e0de3e,#2ae556,#a1e01a,#db4379,#908989,#a48d0e,#a2f6f6
73.136.173.194,Female,18-24,#ee1111,#122bed,#1c830b,#f7f72b,#f12727,#f49415,#47f812,#00a3ff
82.19.173.23,Female,25-34,#0b0e0d,#d51515,#eaed4a,#ebe566,#e63d3d,none,none,none
87.70.182.239,Male,"Under 18",#599d53,#d13129,#113dbb,#eae543,#e55138,#3f3636,none,#7addfa
24.240.90.60,Female,"Under 18",#e90c27,#fdfcfc,#17ab22,#f8f23a,#f90606,#3043a6,none,#ffffff
47.37.103.135,Male,25-34,#222caa,#188b44,#f2f49f,#f0f28d,#c6153b,#c9c5c5,none,#cce6eb
172.1.229.155,Female,25-34,#7acc5c,#8c4ab5,#5ac653,#fafc45,#fc2742,none,none,none
49.199.142.246,Male,25-34,#ea9039,#3283cd,#c8de45,#dcde59,#b44652,none,none,none
162.197.208.86,Female,25-34,#e7272c,#3e9627,#a1e326,#f7e52b,#ee3a6b,#b8e3ea,#f4d115,#603672
24.118.85.8,Male,25-34,#ffffff,#f70a02,#169603,#f52e2e,#f82096,none,none,none
73.132.248.53,Male,18-24,#000000,#ffffff,#c8ff52,#fffa52,#ed4545,#fac475,none,#c7e2e5
138.19.99.104,Male,18-24,#ff0000,#4fe8c8,#fff605,#ffe70f,#ff4747,none,none,#98d9dc
82.43.98.148,Female,45-54,#9de1d1,#ca4021,#f9e910,#fce24a,#f61375,#966e13,#10a818,#8847f5
49.196.21.51,Male,25-34,#1110b2,#f10e0e,#32ec3a,#fbf92d,#d00b0b,#d7d6d6,none,#9e08a0
42.61.154.69,Female,18-24,#ffffff,#ffffff,#000000,#fffd1f,#f50d00,#999999,none,none
203.192.78.16,Female,18-24,#f10e0e,#249af9,#fafa0f,#e2d53c,#fb83d0,none,none,none
52.71.155.178,,,,,,,,,,
91.33.239.49,Female,18-24,#2b36a6,#d6dc50,#f18b3b,#c336d3,#cd0e0e,none,none,none
90.249.13.179,Female,18-24,#050505,#efe834,#56a32e,#e3c84a,#e93a9f,none,none,#7317ee
5.56.122.107,Male,18-24,#173f5e,none,#6d6b55,none,none,none,none,none
174.1.15.181,Female,"Under 18",#ff3333,#f13232,#ff1a1c,#f8eb54,#f448ad,#7286a1,#c6f660,#e6f1d0
98.114.64.211,Male,45-54,#43a362,#f3f368,none,#fbfbf9,#86e6f3,none,none,none
178.197.236.84,Female,18-24,#ff1414,#1826c3,#4eff14,#fff105,#c80e1f,none,#c70df2,#0febae
46.61.113.174,Male,18-24,#2851bd,#d12929,#6fb757,#ffef38,#ff0f0f,#cbae86,none,#b8f7ff
121.7.7.27,Female,18-24,#f5293e,#8df297,#fdea44,#0f0101,#fa2929,#eae1e1,none,#43fd26
121.7.7.27,Female,45-54,#eb2d2d,none,#e6de33,#ef3434,#ef1a1a,none,none,none
121.7.7.27,Male,45-54,#140101,#f5f4f4,#1e0000,#ede30c,#f53232,#fdfcfc,#64d5f2,#fafafa
173.195.16.90,Female,"Under 18",#fe1616,#f9e539,#4cc030,#efdb4d,#f02424,#dea573,none,#8cf2f1
73.246.34.17,Female,"Under 18",#ffffff,#78a6e2,#e64747,#f0d833,#ef7bc2,none,none,none
80.187.108.23,Female,18-24,#ba1212,#4733c7,#f6f62c,#dfd226,#ad1a1a,#242361,#a2f28c,#a9eaef
93.144.55.35,Male,"Under 18",#0d7bc9,#e31c1e,#c0f188,#ddb6d9,#e7507e,#cac1aa,#76287b,#9a71ef
24.137.68.227,Male,"Under 18",#0a5beb,#f2cc07,#f23636,#f2ea36,#fe0606,#808080,none,#28f6e0
174.49.34.163,Female,45-54,#efee25,#edaa12,#f08f0f,#f4f740,#e63793,none,none,#aa2ce2
147.69.129.82,Female,18-24,#1e4f1c,#d62dfb,#f88b2a,#efea1a,#f4347c,#182c81,#dddada,#78b2e2
41.190.31.124,Female,18-24,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
99.132.115.244,Female,18-24,#e63633,#2e2bee,#5fed31,#eef21c,#f12222,none,#917050,#43acea
88.130.54.163,Male,35-44,#40ca3f,#ffffff,#f051ca,#2344e7,#ee1111,none,none,none
217.155.201.130,Nonbinary,35-44,#1d155b,#296a4e,#f68646,#fbf32d,#fe1010,none,none,none
84.229.197.152,Female,25-34,#2665ab,#faf21e,#f8aa30,#f8eb0d,#e60f0f,none,none,none
58.84.147.220,Female,25-34,#1e1980,#d41616,#fa1eec,#facc05,#f41589,#c2a689,#aec9ef,#9dbbe7
99.203.80.89,Male,"Under 18",none,none,#136c2a,#d0ed40,#eb3d4c,none,none,#2256ce
177.254.23.190,Male,"Under 18",#f67a23,#3f8df8,#e23c3f,#eab710,#d94a4a,#cbaf90,#c6c3c3,#13cd3f
24.153.51.152,Female,18-24,#44a3e4,#e6ea4d,#2a9f23,#d6d82c,#d11010,none,none,none
86.160.203.103,Male,18-24,#4aafe3,#ec2727,#68c73d,#ede11d,#ea1010,#641717,#80f628,#a41bc0
216.116.233.130,Female,18-24,#2956d6,#f1f66f,#c72323,#f339ee,#9f46e2,#857b4c,#7dd5ed,#9ee68f
47.152.205.212,Female,"Under 18",none,none,#f7f906,#fef69a,#fb1313,#c8c9cb,none,#83ddfc
162.196.86.105,Female,25-34,#e31616,#2357fb,#e87017,#efe13e,#f52e2e,none,none,none
174.119.252.165,Female,18-24,#3bcee8,#ef0b0b,#64ec41,#fff566,#ef3e6a,#bc6c29,none,#84eafb
84.250.84.118,Female,25-34,#030303,#e3e3e3,#1c3ed4,#faeb47,#f10909,#c0bcd2,#9ef14b,#61e0d2
80.107.21.158,Male,"Under 18",#8fc32c,#900909,#35bb88,#f4c810,#d91c1c,none,none,#adaeae
217.44.72.141,Female,"Under 18",#192eeb,#f4f532,#de1212,#fcfd35,#f61e1e,none,none,none
24.22.184.247,Female,18-24,#f50095,#2f05a8,#e6bd05,#a82de6,#056f01,none,none,#0d85f8
72.203.102.62,Male,25-34,#f1f42a,#1f3edb,#f529cc,#f8f420,#db0a0a,#f4a210,none,#1863dc
86.149.85.198,Female,"Under 18",#f80d0d,#2630f2,#eba360,#f7e94b,#e60a0a,#7315d1,#ed2c2c,#369eec
172.58.35.104,Male,18-24,#eb0f0f,#2420e9,#347f3c,#f0dc14,#ed1d1d,#0c0d0d,none,#a7a7af
174.6.81.143,Male,18-24,none,none,#e71a0d,#ffe347,#e71313,none,none,#a3c9e0
192.181.169.224,Female,18-24,#eea5bd,#fae966,#3505ad,#f2e5bb,#f54d82,#afbac0,#8dc3b2,#e1c6f5
24.64.150.201,Female,18-24,#121212,#dc1e1e,#329a53,#e7d840,#e75f74,#c5bebe,none,none
